stu_id,section_id,site_id,start_date,leave_date,schoolyr
67013019,6 BC-SI-18,67_67399_5136971,8/11/25,,2025-2026
67013019,6 BC-SI-19,67_67399_5136971,8/11/25,,2025-2026
67012968,5-BC-SI-17,67_67399_5136971,8/11/25,,2025-2026
67012968,5BC-SI-20,67_67399_5136971,8/11/25,,2025-2026
67013004,6 BC-SI-18,67_67399_5136971,8/11/25,,2025-2026
67013004,6 BC-SI-19,67_67399_5136971,8/11/25,,2025-2026
67012841,3 BC-SI-5,67_67399_5136971,8/11/25,,2025-2026
67012841,3 BC-SI-8,67_67399_5136971,8/11/25,,2025-2026
67013056,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013056,0495-02,67_67399_5136978,8/11/25,,2025-2026
67013095,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013095,0495-02,67_67399_5136978,8/11/25,,2025-2026
67013087,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013087,0495-02,67_67399_5136978,8/11/25,,2025-2026
67013036,6 BC-SI-18,67_67399_5136971,8/11/25,,2025-2026
67013036,6 BC-SI-19,67_67399_5136971,8/11/25,,2025-2026
67012743,1 BC-SI-03,67_67399_5136971,8/11/25,,2025-2026
67012743,1 BC-SI-04,67_67399_5136971,8/11/25,,2025-2026
67012768,2 BC-SI-06,67_67399_5136971,8/11/25,,2025-2026
67012768,2 BC-SI-07,67_67399_5136971,8/11/25,,2025-2026
67012964,5-BC-SI-17,67_67399_5136971,8/11/25,,2025-2026
67012964,5BC-SI-20,67_67399_5136971,8/11/25,,2025-2026
67012756,2 BC-SI-06,67_67399_5136971,8/11/25,,2025-2026
67012756,2 BC-SI-07,67_67399_5136971,8/11/25,,2025-2026
67013119,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013119,0495-02,67_67399_5136978,8/11/25,,2025-2026
67013085,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013085,0495-02,67_67399_5136978,8/11/25,,2025-2026
67012684,K BC-SI-1,67_67399_5136971,8/11/25,,2025-2026
67012684,K BC-SI-2,67_67399_5136971,8/11/25,,2025-2026
67012857,3 BC-SI-5,67_67399_5136971,8/11/25,,2025-2026
67012857,3 BC-SI-8,67_67399_5136971,8/11/25,,2025-2026
67013105,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013105,0495-02,67_67399_5136978,8/11/25,,2025-2026
67012859,4 BC-SI-16,67_67399_5136971,8/11/25,,2025-2026
67012859,4 BC-SI-22,67_67399_5136971,8/11/25,,2025-2026
67012981,5-BC-SI-17,67_67399_5136971,8/11/25,,2025-2026
67012981,5BC-SI-20,67_67399_5136971,8/11/25,,2025-2026
67013014,6 BC-SI-18,67_67399_5136971,8/11/25,,2025-2026
67013014,6 BC-SI-19,67_67399_5136971,8/11/25,,2025-2026
67012907,4 BC-SI-16,67_67399_5136971,8/11/25,,2025-2026
67012907,4 BC-SI-22,67_67399_5136971,8/11/25,,2025-2026
67012746,1 BC-SI-03,67_67399_5136971,8/11/25,,2025-2026
67012746,1 BC-SI-04,67_67399_5136971,8/11/25,,2025-2026
67012703,1 BC-SI-03,67_67399_5136971,8/11/25,,2025-2026
67012703,1 BC-SI-04,67_67399_5136971,8/11/25,,2025-2026
67012710,1 BC-SI-03,67_67399_5136971,8/11/25,,2025-2026
67012710,1 BC-SI-04,67_67399_5136971,8/11/25,,2025-2026
67012764,2 BC-SI-06,67_67399_5136971,8/11/25,,2025-2026
67012764,2 BC-SI-07,67_67399_5136971,8/11/25,,2025-2026
67012985,6 BC-SI-18,67_67399_5136971,8/11/25,,2025-2026
67012985,6 BC-SI-19,67_67399_5136971,8/11/25,,2025-2026
67013089,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013089,0495-02,67_67399_5136978,8/11/25,,2025-2026
67012858,3 BC-SI-5,67_67399_5136971,8/11/25,,2025-2026
67012858,3 BC-SI-8,67_67399_5136971,8/11/25,,2025-2026
67013080,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013080,0495-02,67_67399_5136978,8/11/25,,2025-2026
67013023,6 BC-SI-18,67_67399_5136971,8/11/25,,2025-2026
67013023,6 BC-SI-19,67_67399_5136971,8/11/25,,2025-2026
67012698,1 BC-SI-03,67_67399_5136971,8/11/25,,2025-2026
67012698,1 BC-SI-04,67_67399_5136971,8/11/25,,2025-2026
67012711,1 BC-SI-03,67_67399_5136971,8/11/25,,2025-2026
67012711,1 BC-SI-04,67_67399_5136971,8/11/25,,2025-2026
67013120,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013120,0495-02,67_67399_5136978,8/11/25,,2025-2026
67012817,3 BC-SI-5,67_67399_5136971,8/11/25,,2025-2026
67012817,3 BC-SI-8,67_67399_5136971,8/11/25,,2025-2026
67013091,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013091,0495-02,67_67399_5136978,8/11/25,,2025-2026
67012795,2 BC-SI-06,67_67399_5136971,8/11/25,,2025-2026
67012795,2 BC-SI-07,67_67399_5136971,8/11/25,,2025-2026
67013021,6 BC-SI-18,67_67399_5136971,8/11/25,,2025-2026
67013021,6 BC-SI-19,67_67399_5136971,8/11/25,,2025-2026
67012730,1 BC-SI-03,67_67399_5136971,8/11/25,,2025-2026
67012730,1 BC-SI-04,67_67399_5136971,8/11/25,,2025-2026
67012937,5-BC-SI-17,67_67399_5136971,8/11/25,,2025-2026
67012937,5BC-SI-20,67_67399_5136971,8/11/25,,2025-2026
67012878,4 BC-SI-16,67_67399_5136971,8/11/25,,2025-2026
67012878,4 BC-SI-22,67_67399_5136971,8/11/25,,2025-2026
67013118,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013118,0495-02,67_67399_5136978,8/11/25,,2025-2026
67012881,4 BC-SI-16,67_67399_5136971,8/11/25,,2025-2026
67012881,4 BC-SI-22,67_67399_5136971,8/11/25,,2025-2026
67012723,1 BC-SI-03,67_67399_5136971,8/11/25,,2025-2026
67012723,1 BC-SI-04,67_67399_5136971,8/11/25,,2025-2026
67012798,2 BC-SI-06,67_67399_5136971,8/11/25,,2025-2026
67012798,2 BC-SI-07,67_67399_5136971,8/11/25,,2025-2026
67012771,2 BC-SI-06,67_67399_5136971,8/11/25,,2025-2026
67012771,2 BC-SI-07,67_67399_5136971,8/11/25,,2025-2026
67013031,6 BC-SI-18,67_67399_5136971,8/11/25,,2025-2026
67013031,6 BC-SI-19,67_67399_5136971,8/11/25,,2025-2026
67012809,3 BC-SI-5,67_67399_5136971,8/11/25,,2025-2026
67012809,3 BC-SI-8,67_67399_5136971,8/11/25,,2025-2026
67012982,5-BC-SI-17,67_67399_5136971,8/11/25,,2025-2026
67012982,5BC-SI-20,67_67399_5136971,8/11/25,,2025-2026
67012799,2 BC-SI-06,67_67399_5136971,8/11/25,,2025-2026
67012799,2 BC-SI-07,67_67399_5136971,8/11/25,,2025-2026
67012737,1 BC-SI-03,67_67399_5136971,8/11/25,,2025-2026
67012737,1 BC-SI-04,67_67399_5136971,8/11/25,,2025-2026
67013068,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013068,0495-02,67_67399_5136978,8/11/25,,2025-2026
67012901,4 BC-SI-16,67_67399_5136971,8/11/25,,2025-2026
67012901,4 BC-SI-22,67_67399_5136971,8/11/25,,2025-2026
67013060,0495-01,67_67399_5136978,8/11/25,,2025-2026
67013060,0495-02,67_67399_5136978,8/11/25,,2025-2026
67012802,2 BC-SI-06,67_67399_5136971,8/11/25,,2025-2026
67012802,2 BC-SI-07,67_67399_5136971,8/11/25,,2025-2026
67012776,2 BC-SI-06,67_67399_5136971,8/11/25,,2025-2026
